Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
Intel Core i5-1135G7,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,No,70.0,549.0,1,0.99
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1862.41,0,0.01
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1471.11,0,0.34
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,960.46,1,0.99
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,FreeDOS,83.0,1471.11,0,0.03
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2058.06,0,0.19
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,14.0,2880x1800,No,73.0,2308.74,0,0.02
Intel Core i7-13700H,16.0,DDR4,1.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,70.0,1373.28,0,0.5
Intel Core i7-13700H,16.0,DDR5,512.0,Intel Iris Xe Graphics,16.1,1920x1080,FreeDOS,70.0,1265.66,1,0.93
AMD Ryzen 7-8845HS,16.0,DDR5,1.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,70.0,1108.08,0,0.05
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1375.59,0,0.44
Qualcomm Snapdragon-X1-P42-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,13.3,2880x1800,Windows 11 Home,70.0,1575.99,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1610.85,0,0.34
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1764.58,0,0.01
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,955.32,1,0.99
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,Windows 11 Home,70.0,1568.95,0,0.32
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,FreeDOS,83.0,1666.76,0,0.01
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2253.72,0,0.19
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,Windows 11 Home,83.0,1568.95,0,0.03
Intel Core i7-13620H,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,83.0,1568.95,0,0.32
Intel Core i3-1215U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,507.03,1,0.97
Intel Core i5-1235U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,630.0,1,0.99
Intel Core i7-1255U,16.0,DDR4,1000.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,678.0,1,0.99
Intel Core Ultra 9-185H,32.0,DDR5,,,16.0,1920x1200,,86.0,3590.99,0,0.46
Intel Core i5-1235U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,566.99,1,0.99
Intel Core Ultra 5-125U,16.0,DDR5,512.0,Intel Graphics,16.0,2048x1280,Windows 11 Home,59.0,967.0,1,0.97
Intel Core Ultra 7-155H,32.0,DDR5,1.0,,14.0,1920x1200,,56.0,1849.99,1,0.7
Intel Core i3-1215U,8.0,DDR4,256.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,417.99,1,0.84
AMD Ryzen 5-5625U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,41.0,454.04,0,0.13
