Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Tipo,CPU_Generation,Quality_Score,Value_Score,es_chollo_pred,probabilidad_chollo
Intel Core i5-1135G7,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,No,70.0,549.0,Intel,5,361.8,0.659016393442623,1,0.98
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1862.41,AMD,0,18.1,0.009718590428530774,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1471.11,Intel,7,366.8,0.24933553575191525,1,0.87
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,960.46,Intel,7,464.2,0.48331008058638564,1,0.99
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,FreeDOS,83.0,1471.11,AMD,0,18.1,0.012303634670418936,0,0.01
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2058.06,Intel,9,468.1,0.22744720756440534,1,0.82
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,14.0,2880x1800,No,73.0,2308.74,AMD,0,17.1,0.007406637386626473,0,0.0
Intel Core i7-13700H,16.0,DDR4,1.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,70.0,1373.28,Intel,7,362.0,0.2636024699988349,1,0.94
Intel Core i7-13700H,16.0,DDR5,512.0,Intel Iris Xe Graphics,16.1,1920x1080,FreeDOS,70.0,1265.66,Intel,7,464.2,0.3667651660003476,1,1.0
AMD Ryzen 7-8845HS,16.0,DDR5,1.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,70.0,1108.08,AMD,0,12.0,0.010829542993285684,0,0.01
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1375.59,Intel,7,362.0,0.26315980779156584,1,0.94
Qualcomm Snapdragon-X1-P42-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,13.3,2880x1800,Windows 11 Home,70.0,1575.99,Qualcomm,0,12.0,0.007614261511811623,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1610.85,Intel,7,366.8,0.22770586957196512,1,0.84
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1764.58,AMD,0,18.1,0.010257398361083091,0,0.0
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,955.32,Intel,7,464.2,0.485910480257924,1,0.99
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,Windows 11 Home,70.0,1568.95,Intel,7,366.8,0.23378692756301986,1,0.84
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,FreeDOS,83.0,1666.76,AMD,0,18.1,0.010859391874055054,0,0.0
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2253.72,Intel,9,468.1,0.207701045382745,1,0.82
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,Windows 11 Home,83.0,1568.95,AMD,0,18.1,0.011536377832308231,0,0.0
