Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio
Intel Core i5-1135G7,8,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,No,70,"549,00"
AMD Ryzen 7-8845HS,32,DDR5,1,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83,"1862,41"
Intel Core i7-14650HX,32,DDR5,1,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70,"1471,11"
Intel Core i7-12650H,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70,"960,46"
AMD Ryzen 7-8845HS,32,DDR5,1,AMD Radeon 780M,17.3,1920x1080,FreeDOS,83,"1471,11"
Intel Core i9-14900HX,32,DDR5,1,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83,"2058,06"
AMD Ryzen 9-8945HS,32,DDR5,1,AMD Radeon 780M,14,2880x1800,No,73,"2308,74"
Intel Core i7-13700H,16,DDR4,1,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,70,"1373,28"
Intel Core i7-13700H,16,DDR5,512,Intel Iris Xe Graphics,16.1,1920x1080,FreeDOS,70,"1265,66"
AMD Ryzen 7-8845HS,16,DDR5,1,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,70,"1108,08"
Intel Core i7-14650HX,16,DDR5,1,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70,"1375,59"
Qualcomm Snapdragon-X1-P42-100,16,DDR5,1,Qualcomm Adreno GPU,13.3,2880x1800,Windows 11 Home,70,"1575,99"
Intel Core i7-14650HX,32,DDR5,1,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70,"1610,85"
AMD Ryzen 9-8945HS,32,DDR5,1,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83,"1764,58"
Intel Core i7-12650H,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70,"955,32"
Intel Core i7-14650HX,32,DDR5,1,Intel® UHD Graphics,16.1,1920x1080,Windows 11 Home,70,"1568,95"
AMD Ryzen 9-8945HS,32,DDR5,1,AMD Radeon 780M,17.3,2560x1440,FreeDOS,83,"1666,76"
Intel Core i9-14900HX,32,DDR5,1,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83,"2253,72"
